State,County,Under5yrsPopulation_total ,Under5yrsPopulation_female,t5to17yrsPopulation_total,t5to17yrs_Female,t18to24yearsPopulation,t18to24yrs_Female,t25to34yrs_Population,t25to34years_Female,t35to44yrs_Population,t35to44yrs_Female,t45to64yrs_Population,t45to64yrs_Female,t65to84years_Population,t65to84yrs_Female,t85to99yrs_Population,t85to99yrs_Female,t100_years_and_Over_Population,t100yrs_and_over_Female
Kentucky,Simpson County,1184,611,3400,1646,1544,751,2560,1265,2363,1177,5188,2672,3050,1669,303,190,2,2
Kentucky,Spencer County,1136,553,3556,1662,1303,641,1997,1037,2504,1274,6051,3024,2741,1361,197,120,5,5
Kentucky,Taylor County,1568,763,4240,2078,3008,1518,2990,1491,2893,1411,6418,3333,4339,2375,555,369,12,12
Kentucky,Todd County,902,438,2430,1217,1054,472,1388,703,1430,725,3084,1570,1774,952,177,119,4,0
Kentucky,Trigg County,739,338,2347,1144,886,438,1348,695,1399,718,4013,2069,3061,1525,268,149,0,0
Kentucky,Trimble County,475,229,1368,682,613,286,927,450,944,485,2545,1251,1465,771,134,72,3,3
Kentucky,Union County,795,381,2412,1187,1418,603,1429,743,1571,783,3479,1798,2296,1195,268,181,0,0
Kentucky,Warren County,8713,4274,22944,11265,19264,10186,18623,9169,16884,8551,30026,15261,16217,8812,1861,1224,22,22
Kentucky,Washington County,772,378,1991,967,864,427,1386,698,1326,642,3385,1711,2003,1067,289,229,11,7
Kentucky,Wayne County,1157,543,3282,1601,1430,711,2132,1064,2251,1080,5368,2710,3580,1931,354,228,1,0
Kentucky,Webster County,747,372,2314,1136,943,459,1452,703,1609,772,3538,1760,2181,1147,233,150,0,0
Kentucky,Whitley County,2255,1109,6670,3185,3823,1619,4283,2200,4220,2108,9232,4792,5655,3063,560,349,14,11
Kentucky,Wolfe County,389,183,1147,537,467,231,722,354,787,409,1789,913,1138,604,123,70,0,0
Kentucky,Woodford County,1426,684,4548,2258,2088,1033,2702,1382,3318,1700,7589,3989,4749,2506,445,299,6,6
Louisiana,Acadia Parish,3789,1836,10844,5298,4619,2332,6600,3410,6900,3628,14859,7730,8963,4798,998,662,4,4
Louisiana,Allen Parish,1365,691,3875,1842,1768,844,2940,1185,3133,1144,6114,2659,3210,1699,340,221,5,2
Louisiana,Ascension Parish,8578,4227,25965,12561,10215,4964,16214,8416,18190,9427,31413,16033,14746,7875,1164,772,15,11
Louisiana,Assumption Parish,1087,546,3336,1660,1690,822,2340,1188,2583,1349,5946,3072,3665,1920,390,274,2,1
Louisiana,Avoyelles Parish,2278,1132,6837,3291,3082,1436,4722,2222,5084,2369,10364,5087,6569,3550,747,504,10,10
Louisiana,Beauregard Parish,2349,1172,6711,3141,2910,1369,4415,2070,4568,2186,9487,4762,5594,2990,511,321,4,1
Louisiana,Bienville Parish,732,363,2176,1097,932,454,1344,731,1472,786,3564,1813,2426,1315,332,225,3,0
Louisiana,Bossier Parish,8336,4162,24534,11938,11057,5250,18102,9262,17570,8833,30056,15562,17083,9353,1997,1216,11,9
Louisiana,Caddo Parish,14263,7055,41178,20206,19577,10073,30294,16018,29738,15820,59364,31434,38261,21490,5112,3411,61,54
Louisiana,Calcasieu Parish,13949,6890,39670,19473,20009,9927,28776,14531,27964,14306,52608,27332,30252,16626,3535,2241,22,21
Louisiana,Caldwell Parish,542,258,1625,772,697,296,1169,522,1217,554,2576,1232,1649,885,163,112,7,6
Louisiana,Cameron Parish,305,150,954,466,448,224,598,291,652,325,1704,879,869,439,83,47,4,1
